"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn1.2486",662,"11-beta-hydroxysteroid dehydrogenase 1A [0.611] | 11-beta-hydroxysteroid dehydrogenase-like 5 [0.222] | hydroxysteroid dehydrogenase 1 [0.067] | 11-beta-hydroxysteroid dehydrogenase-like 4A [0.044] | 11-beta-hydroxysteroid dehydrogenase-like 6 [0.022] | hydroxysteroid dehydrogenase 6 [0.022] | hydroxysteroid dehydrogenase 4 [0.011]","hydroxysteroid dehydrogenase 1 | hydroxysteroid dehydrogenase 6 | hydroxysteroid dehydrogenase 5 | hydroxysteroid dehydrogenase 7 | hydroxysteroid dehydrogenase 4","adh_short (PF00106) [0.978]","oxidoreductase activity (GO:0016491) [0.978]","metabolic process (GO:0008152) [0.978]","2"
"Pn1.2492",101,"YELLOW STRIPE like 7 [0.312] | YELLOW STRIPE like 6 [0.143] | eukaryotic initiation factor 4A-III [0.126] | YELLOW STRIPE like 3 [0.113] | LOCATED IN: endomembrane system; [0.074] | YELLOW STRIPE like 1 [0.069] | YELLOW STRIPE like 2 [0.065] | YELLOW STRIPE like 5 [0.052] | YELLOW STRIPE like 8 [0.026] | YELLOW STRIPE like 4 [0.009] | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [0.004]","YELLOW STRIPE like 1 | YELLOW STRIPE like 5 | YELLOW STRIPE like 6 | YELLOW STRIPE like 7 | YELLOW STRIPE like 4 | YELLOW STRIPE like 3 | YELLOW STRIPE like 8 | YELLOW STRIPE like 2 | eukaryotic initiation factor 4A-III","OPT (PF03169) [0.788] | DEAD (PF00270) [0.130] | Helicase_C (PF00271) [0.130] | DUF179 (PF02622) [0.061] | Thioredoxin (PF00085) [0.026] | Methyltransf_7 (PF03492) [0.004] | Cyt-b5 (PF00173) [0.004] | zf-RVT (PF13966) [0.004]","ATP-dependent helicase activity (GO:0008026) [0.130] | ATP binding (GO:0005524) [0.130] | nucleic acid binding (GO:0003676) [0.130] | helicase activity (GO:0004386) [0.130] | heme binding (GO:0020037) [0.004] | methyltransferase activity (GO:0008168) [0.004]","transmembrane transport (GO:0055085) [0.788] | cell redox homeostasis (GO:0045454) [0.026]","5"
"Pn1.2511",8183,"chaperone protein dnaJ-related [0.960]","chaperone protein dnaJ-related","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2531",845,"serine hydroxymethyltransferase 4 [0.463] | serine hydroxymethyltransferase 7 [0.400] | serine hydroxymethyltransferase 6 [0.138]","serine hydroxymethyltransferase 7 | serine hydroxymethyltransferase 4 | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | serine hydroxymethyltransferase 6","SHMT (PF00464) [1.000] | HEAT (PF02985) [0.013] | IBN_N (PF03810) [0.013]","glycine hydroxymethyltransferase activity (GO:0004372) [1.000] | protein binding (GO:0005515) [0.013] | Ran GTPase binding (GO:0008536) [0.013]","L-serine metabolic process (GO:0006563) [1.000] | glycine metabolic process (GO:0006544) [1.000] | intracellular protein transport (GO:0006886) [0.013]","3"
"Pn1.2539",889,"glycerol-3-phosphate acyltransferase 3 [0.449] | glycerol-3-phosphate acyltransferase 1 [0.359] | glycerol-3-phosphate acyltransferase 2 [0.167] | Pentatricopeptide repeat-containing protein [0.013] | glycerol-3-phosphate acyltransferase 6 [0.013]","glycerol-3-phosphate acyltransferase 2 | glycerol-3-phosphate acyltransferase 1 | glycerol-3-phosphate acyltransferase 3","Acyltransferase (PF01553) [0.910] | PPR (PF01535) [0.013] | PPR_2 (PF13041) [0.013] | HAD (PF12710) [0.013] | PPR_3 (PF13812) [0.013]","transferase activity, transferring acyl groups (GO:0016746) [0.910]","metabolic process (GO:0008152) [0.910]","4"
"Pn1.2581",66,"myosin 1 [0.546] | myosin 2 [0.230] | myosin, putative [0.110] | myosin XI B [0.076] | myosin XI A [0.027] | myosin XI D [0.010]","Myosin family protein with Dil domain | P-loop containing nucleoside triphosphate hydrolases superfamily protein | myosin 2 | myosin 1 | myosin XI B | myosin, putative | myosin-like protein XIG | myosin XI A | myosin-like protein XIF | myosin XI D","Myosin_head (PF00063) [0.952] | IQ (PF00612) [0.897] | DIL (PF01843) [0.595] | Myosin_N (PF02736) [0.529] | Skp1 (PF01466) [0.003] | F-box (PF00646) [0.003] | NAM (PF02365) [0.003] | RVT_1 (PF00078) [0.003] | UBN2_3 (PF14244) [0.003] | RVT_2 (PF07727) [0.003]","ATP binding (GO:0005524) [0.952] | motor activity (GO:0003774) [0.952] | protein binding (GO:0005515) [0.897] | RNA binding (GO:0003723) [0.003] | DNA binding (GO:0003677) [0.003] | RNA-directed DNA polymerase activity (GO:0003964) [0.003]","ubiquitin-dependent protein catabolic process (GO:0006511) [0.003] | regulation of transcription, DNA-templated (GO:0006355) [0.003] | RNA-dependent DNA replication (GO:0006278) [0.003]","3"
"Pn1.2587",66,"myosin 1 [0.546] | myosin 2 [0.230] | myosin, putative [0.110] | myosin XI B [0.076] | myosin XI A [0.027] | myosin XI D [0.010]","Myosin family protein with Dil domain | P-loop containing nucleoside triphosphate hydrolases superfamily protein | myosin 2 | myosin 1 | myosin XI B | myosin, putative | myosin-like protein XIG | myosin XI A | myosin-like protein XIF | myosin XI D","Myosin_head (PF00063) [0.952] | IQ (PF00612) [0.897] | DIL (PF01843) [0.595] | Myosin_N (PF02736) [0.529] | Skp1 (PF01466) [0.003] | F-box (PF00646) [0.003] | NAM (PF02365) [0.003] | RVT_1 (PF00078) [0.003] | UBN2_3 (PF14244) [0.003] | RVT_2 (PF07727) [0.003]","ATP binding (GO:0005524) [0.952] | motor activity (GO:0003774) [0.952] | protein binding (GO:0005515) [0.897] | RNA binding (GO:0003723) [0.003] | DNA binding (GO:0003677) [0.003] | RNA-directed DNA polymerase activity (GO:0003964) [0.003]","ubiquitin-dependent protein catabolic process (GO:0006511) [0.003] | regulation of transcription, DNA-templated (GO:0006355) [0.003] | RNA-dependent DNA replication (GO:0006278) [0.003]","3"
"Pn1.2606",1948,"Unkown protein / Representative AHRD below 0.1%","Plant protein of unknown function (DUF946)","DUF946 (PF06101) [1.000] | Coa1 (PF08695) [0.019]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2617",4036,"RmlC-like cupins superfamily protein [1.000]","RmlC-like cupins superfamily protein","Cupin_3 (PF05899) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2623",144,"Glycosyl hydrolase family protein [1.000]","Glycosyl hydrolase family protein","Glyco_hydro_3 (PF00933) [1.000] | Glyco_hydro_3_C (PF01915) [0.968] | ARGLU (PF15346) [0.005] | zf-C2H2 (PF00096) [0.005]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000] | metal ion binding (GO:0046872) [0.005]","carbohydrate metabolic process (GO:0005975) [1.000]","1"
"Pn1.263",6159,"DnaJ/Hsp40 cysteine-rich domain superfamily protein [0.966] | disease resistance protein (TIR-NBS-LRR class), putative [0.034]","DnaJ/Hsp40 cysteine-rich domain superfamily protein","LRR_1 (PF00560) [0.034] | LRR_3 (PF07725) [0.034]","protein binding (GO:0005515) [0.034]","NULL / Representative annotation below 0.1%","6"
"Pn1.264",4238,"Calcium-binding EF-hand family protein [1.000]","Calcium-binding EF-hand family protein","EF-hand_6 (PF13405) [0.486] | EF-hand_5 (PF13202) [0.057]","calcium ion binding (GO:0005509) [0.543]","NULL / Representative annotation below 0.1%","2"
"Pn1.2676",4036,"RmlC-like cupins superfamily protein [1.000]","RmlC-like cupins superfamily protein","Cupin_3 (PF05899) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2715",138,"NAC domain containing protein 25 [0.253] | NAC domain containing protein 32 [0.222] | NAC domain containing protein 102 [0.126] | NAC domain containing protein 2 [0.116] | NAC domain containing protein 47 [0.101] | NAC domain containing protein 3 [0.091] | NAC domain containing protein 19 [0.076] | NAC domain-containing protein 68 [0.005]","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | NAC domain containing protein 47 | NAC domain containing protein 19 | NAC-like, activated by AP3/PI | NAC domain containing protein  2 | NAC domain containing protein 25 | NAC domain containing protein 3 | NAC domain containing protein 32","NAM (PF02365) [0.990] | RicinB_lectin_2 (PF14200) [0.005]","DNA binding (GO:0003677) [0.990]","regulation of transcription, DNA-templated (GO:0006355) [0.990]","5"
"Pn1.2726",422,"amino acid permease 3 [0.606] | amino acid permease 2 [0.294] | amino acid permease 4 [0.073] | amino acid permease 5 [0.028]","amino acid permease 2 | amino acid permease 3 | amino acid permease 4 | amino acid permease 5","Aa_trans (PF01490) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn1.2737",3840,"DDT domain-containing protein [0.676] | Tyrosine-protein kinase BAZ1B [0.324]","DDT domain-containing protein","DDT (PF02791) [0.919] | WAC_Acf1_DNA_bd (PF10537) [0.730] | WHIM2 (PF15613) [0.649] | WHIM3 (PF15614) [0.378] | WHIM1 (PF15612) [0.054]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.2766",2353,"zinc ion binding;DNA binding [0.755] | SWIB/MDM2 domain;Plus-3;GYF [0.224] | Zinc finger CCCH domain-containing protein 44 [0.020]","zinc ion binding;DNA binding | SWIB/MDM2 domain;Plus-3;GYF","Plus-3 (PF03126) [1.000] | SWIB (PF02201) [0.980] | GYF (PF02213) [0.245] | zf-HC5HC2H (PF13771) [0.020] | zf-RVT (PF13966) [0.020] | DUF4339 (PF14237) [0.020]","DNA binding (GO:0003677) [1.000] | protein binding (GO:0005515) [0.980]","histone modification (GO:0016570) [1.000] | DNA-templated transcription, initiation (GO:0006352) [1.000]","3"
"Pn1.2781",8647,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]","5"
"Pn1.2785",8886,"Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 [0.750] | JmjC domain-containing protein 4 [0.167] | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [0.042] | Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-B [0.042]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","Cupin_8 (PF13621) [0.708] | JmjC (PF02373) [0.250] | NAD_binding_6 (PF08030) [0.042]","protein binding (GO:0005515) [0.250] | oxidoreductase activity (GO:0016491) [0.042]","oxidation-reduction process (GO:0055114) [0.042]","3"
"Pn1.2797",1930,"nodulin MtN21 /EamA-like transporter family protein [1.000]","nodulin MtN21 /EamA-like transporter family protein","EamA (PF00892) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn1.2802",84,"sulfate transporter 1;3 [0.410] | sulfate transporter 3;1 [0.220] | sulfate transporter 3;4 [0.119] | sulfate transporter 91 [0.097] | sulfate transporter 3;5 [0.097] | sulfate transporter 1;2 [0.045] | sulfate transporter 3;2 [0.004] | Sulfate transporter 2.1 [0.004] | Sulfate transporter 2.2 [0.004]","sulfate transporter 1;3 | sulfate transporter 1;2 | sulfate transporter 91 | STAS domain / Sulfate transporter family | sulfate transporter 3;4 | sulfate transporter 3;2 | sulfate transporter 3;1 | slufate transporter 2;1 | sulfate transporter 3;5 | sulphate transporter 1;1","Sulfate_transp (PF00916) [1.000] | STAS (PF01740) [0.981] | Sulfate_tra_GLY (PF13792) [0.978]","sulfate transmembrane transporter activity (GO:0015116) [1.000]","sulfate transport (GO:0008272) [1.000]","5"
"Pn1.2805",1501,"Inositol-3-phosphate synthase [1.000]","myo-inositol-1-phosphate synthase 1 | myo-inositol-1-phosphate synthase 3 | myo-inositol-1-phosphate synthase 2","NAD_binding_5 (PF07994) [1.000] | Inos-1-P_synth (PF01658) [0.984]","inositol-3-phosphate synthase activity (GO:0004512) [1.000]","inositol biosynthetic process (GO:0006021) [1.000] | phospholipid biosynthetic process (GO:0008654) [1.000]","4"
"Pn1.2823",144,"Glycosyl hydrolase family protein [1.000]","Glycosyl hydrolase family protein","Glyco_hydro_3 (PF00933) [1.000] | Glyco_hydro_3_C (PF01915) [0.968] | ARGLU (PF15346) [0.005] | zf-C2H2 (PF00096) [0.005]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000] | metal ion binding (GO:0046872) [0.005]","carbohydrate metabolic process (GO:0005975) [1.000]","1"
"Pn1.284",4132,"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1 [0.629] | 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 2 [0.371]","methylthioadenosine nucleosidase 1 | Phosphorylase superfamily protein","PNP_UDP_1 (PF01048) [1.000]","catalytic activity (GO:0003824) [1.000]","nucleoside metabolic process (GO:0009116) [1.000]","5"
"Pn1.2873",7460,"RNA polymerase II transcription factor B subunit 4 [0.923] | basal transcription factor complex subunit-related [0.038] | General transcription factor IIH subunit 3 [0.038]","basal transcription factor complex subunit-related","Tfb4 (PF03850) [1.000]","NULL / Representative annotation below 0.1%","nucleotide-excision repair (GO:0006289) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [1.000]","3"
"Pn1.2882",6859,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DRY_EERY (PF09750) [0.963]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.2905",3675,"Cyclin-dependent kinase inhibitor family protein [0.737] | Cyclin-dependent kinase inhibitor 6 [0.053] | KIP-related protein 6 [0.026]","Cyclin-dependent kinase inhibitor family protein | KIP-related protein 6","CDI (PF02234) [0.974]","cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861) [0.974]","cell cycle arrest (GO:0007050) [0.974]","3"
"Pn1.2931",4961,"Predicted AT-hook DNA-binding family protein [1.000]","Predicted AT-hook DNA-binding family protein","DUF296 (PF03479) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2946",11732,"H(+)-ATPase 6 [0.357] | H(+)-ATPase 8 [0.214] | H(+)-ATPase 3 [0.143] | Calcium-transporting ATPase type 2C member 2 [0.071] | H(+)-ATPase 1 [0.071] | Calcium-transporting ATPase 1 [0.071] | Calcium-transporting ATPase type 2C member 1 [0.071]","Unkown protein(s) / No TAIR description(s)","Hydrolase (PF00702) [0.929] | E1-E2_ATPase (PF00122) [0.786] | Cation_ATPase_N (PF00690) [0.714] | Cation_ATPase_C (PF00689) [0.643]","metal ion binding (GO:0046872) [0.786] | nucleotide binding (GO:0000166) [0.786]","NULL / Representative annotation below 0.1%","3"
"Pn1.2947",11732,"H(+)-ATPase 6 [0.357] | H(+)-ATPase 8 [0.214] | H(+)-ATPase 3 [0.143] | Calcium-transporting ATPase type 2C member 2 [0.071] | H(+)-ATPase 1 [0.071] | Calcium-transporting ATPase 1 [0.071] | Calcium-transporting ATPase type 2C member 1 [0.071]","Unkown protein(s) / No TAIR description(s)","Hydrolase (PF00702) [0.929] | E1-E2_ATPase (PF00122) [0.786] | Cation_ATPase_N (PF00690) [0.714] | Cation_ATPase_C (PF00689) [0.643]","metal ion binding (GO:0046872) [0.786] | nucleotide binding (GO:0000166) [0.786]","NULL / Representative annotation below 0.1%","3"
"Pn1.2968",8001,"LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: FBD, F-box and Leucine Rich Repeat domains containing protein . [0.440] | Myosin-11 [0.280] | Myosin-9 [0.120] | Myosin heavy chain-related protein [0.040] | Myosin-3 [0.040] | Myosin-2 [0.040] | Myosin-13 [0.040]","Unkown protein(s) / No TAIR description(s)","NT-C2 (PF10358) [0.880]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.2992",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn1.2993",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn1.2994",498,"laccase 14 [0.980] | Laccase-21 [0.010] | laccase 12 [0.010]","laccase 14 | Laccase/Diphenol oxidase family protein","Cu-oxidase_2 (PF07731) [1.000] | Cu-oxidase (PF00394) [0.990] | Cu-oxidase_3 (PF07732) [0.871] | LSM (PF01423) [0.010] | FBA_1 (PF07734) [0.010] | Pkinase (PF00069) [0.010] | F-box (PF00646) [0.010] | UBN2_3 (PF14244) [0.010]","copper ion binding (GO:0005507) [1.000] | oxidoreductase activity (GO:0016491) [1.000] | ATP binding (GO:0005524) [0.010] | protein binding (GO:0005515) [0.010] | protein kinase activity (GO:0004672) [0.010]","oxidation-reduction process (GO:0055114) [1.000] | protein phosphorylation (GO:0006468) [0.010]","1"
