"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn11.1123",2288,"Granule-bound starch synthase 1, chloroplastic/amyloplastic [0.900] | Granule-bound starch synthase 1b, chloroplastic/amyloplastic [0.100]","UDP-Glycosyltransferase superfamily protein","Glyco_transf_5 (PF08323) [1.000] | Glycos_transf_1 (PF00534) [0.960]","NULL / Representative annotation below 0.1%","biosynthetic process (GO:0009058) [0.960]","4"
"Pn11.1179",3168,"Malate dehydrogenase, cytoplasmic [0.902] | Malate dehydrogenase, cytoplasmic 2 [0.049] | Malate dehydrogenase, cytoplasmic 1 [0.049]","Lactate/malate dehydrogenase family protein","Ldh_1_N (PF00056) [1.000] | Ldh_1_C (PF02866) [1.000]","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn11.1181",7367,"squamosa promoter binding protein-like 8 [0.038]","Protein of unknown function, DUF547","Lzipper-MIP1 (PF14389) [0.962] | DUF547 (PF04784) [0.962] | SBP (PF03110) [0.038] | Peptidase_M10 (PF00413) [0.038]","DNA binding (GO:0003677) [0.038] | metalloendopeptidase activity (GO:0004222) [0.038] | zinc ion binding (GO:0008270) [0.038]","proteolysis (GO:0006508) [0.038]","1"
"Pn11.1187",4381,"Peroxisomal acyl-coenzyme A oxidase 1 [1.000]","acyl-CoA oxidase 1 | acyl-CoA oxidase 5","Acyl-CoA_ox_N (PF14749) [0.971] | ACOX (PF01756) [0.971] | Acyl-CoA_dh_M (PF02770) [0.941] | Acyl-CoA_dh_1 (PF00441) [0.176]","acyl-CoA oxidase activity (GO:0003997) [0.971] | acyl-CoA dehydrogenase activity (GO:0003995) [0.941] | oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627) [0.176]","oxidation-reduction process (GO:0055114) [1.000] | fatty acid beta-oxidation (GO:0006635) [0.971]","4"
"Pn11.1242",6422,"Heavy metal transport/detoxification superfamily protein [1.000]","Heavy metal transport/detoxification superfamily protein ","HMA (PF00403) [1.000]","metal ion binding (GO:0046872) [1.000]","metal ion transport (GO:0030001) [1.000]","3"
"Pn11.1403",8084,"Protein kinase superfamily protein [1.000]","WAG 1 | Protein kinase superfamily protein","Pkinase (PF00069) [1.000]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000]","protein phosphorylation (GO:0006468) [1.000]","2"
"Pn11.1433",4181,"Zinc finger (C3HC4-type RING finger) family protein [1.000]","Zinc finger (C3HC4-type RING finger) family protein","zf-RING_2 (PF13639) [0.771] | VWA (PF00092) [0.429] | VWA_2 (PF13519) [0.429] | VWA_3 (PF13768) [0.143] | zf-C3HC4 (PF00097) [0.029]","protein binding (GO:0005515) [0.771] | zinc ion binding (GO:0008270) [0.771] | metal ion binding (GO:0046872) [0.029]","NULL / Representative annotation below 0.1%","1"
"Pn11.1453",776,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.988]","protein dimerization activity (GO:0046983) [0.988]","NULL / Representative annotation below 0.1%","4"
"Pn11.1479",1693,"Homeobox protein knotted-1-like 2 [0.362] | Homeobox protein knotted-1-like 6 [0.328] | Homeobox protein knotted-1-like 1 [0.224] | Homeobox protein knotted-1-like 12 [0.086]","KNOTTED-like from Arabidopsis thaliana | KNOX/ELK homeobox transcription factor","Homeobox_KN (PF05920) [0.966] | ELK (PF03789) [0.948] | KNOX2 (PF03791) [0.931] | KNOX1 (PF03790) [0.897] | RVT_2 (PF07727) [0.017]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [0.966]","5"
"Pn11.1494",9246,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn11.2197",9988,"17.6 kDa class II heat shock protein [1.000]","HSP20-like chaperones superfamily protein","HSP20 (PF00011) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.2401",1895,"Adenine nucleotide alpha hydrolases-like superfamily protein [1.000]","Adenine nucleotide alpha hydrolases-like superfamily protein","Usp (PF00582) [1.000]","NULL / Representative annotation below 0.1%","response to stress (GO:0006950) [1.000]","3"
"Pn11.2427",10834,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn11.247",304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10","Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953]","lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992]","metabolic process (GO:0008152) [0.953]","3"
"Pn11.251",304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10","Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953]","lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992]","metabolic process (GO:0008152) [0.953]","3"
"Pn11.26",1683,"Trans-cinnamate 4-monooxygenase [0.983] | cytochrome P450, family 98, subfamily A, polypeptide 3 [0.017]","cinnamate-4-hydroxylase","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","4"
"Pn11.266",304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10","Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953]","lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992]","metabolic process (GO:0008152) [0.953]","3"
"Pn11.2701",6183,"Cytochrome P450 superfamily protein [0.966] | cytochrome P450, family 724, subfamily A, polypeptide 1 [0.034]","cytochrome P450, family 724, subfamily A, polypeptide 1","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn11.349",777,"adenine phosphoribosyltransferase 5 [1.000]","adenine phosphoribosyl transferase 4 | adenine phosphoribosyl transferase 1 | adenine phosphoribosyl transferase 2 | adenine phosphoribosyltransferase 5 | adenine phosphoribosyl transferase 3","Pribosyltran (PF00156) [1.000]","NULL / Representative annotation below 0.1%","nucleoside metabolic process (GO:0009116) [1.000]","3"
"Pn11.42",366,"lipid phosphate phosphatase 3 [0.650] | lipid phosphate phosphatase 2 [0.350]","Phosphatidic acid phosphatase (PAP2) family protein | lipid phosphate phosphatase 3 | lipid phosphate phosphatase 2 | phosphatidic acid phosphatase 1","PAP2 (PF01569) [0.991] | PB1 (PF00564) [0.009]","catalytic activity (GO:0003824) [0.991] | protein binding (GO:0005515) [0.009]","NULL / Representative annotation below 0.1%","4"
"Pn11.498",4512,"Mitochondrial pyruvate carrier 1 [1.000]","Uncharacterised protein family (UPF0041)","MPC (PF03650) [1.000]","NULL / Representative annotation below 0.1%","mitochondrial pyruvate transport (GO:0006850) [1.000]","3"
"Pn11.536",36699,"Unkown protein / Representative AHRD below 0.1%","Protein of Unknown Function (DUF239)","DUF239 (PF03080) [1.000] | DUF4409 (PF14365) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.747",304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10","Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953]","lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992]","metabolic process (GO:0008152) [0.953]","3"
"Pn11.754",304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10","Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953]","lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992]","metabolic process (GO:0008152) [0.953]","3"
"Pn11.885",3955,"caffeoyl-CoA 3-O-methyltransferase [0.972] | Caffeoyl-CoA O-methyltransferase 1 [0.028]","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Methyltransf_3 (PF01596) [1.000]","O-methyltransferase activity (GO:0008171) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn11.923",987,"VQ motif-containing protein [0.907]","VQ motif-containing protein","VQ (PF05678) [0.947]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn12.1207",3250,"homeobox protein 34 [0.488] | homeobox protein 30 [0.293] | homeobox protein 26 [0.122] | homeobox protein 23 [0.073] | homeobox protein 22 [0.024]","homeobox protein 26 | homeobox protein 30 | homeobox protein 23 | homeobox protein 34 | zinc finger homeodomain  1","ZF-HD_dimer (PF04770) [0.976]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn12.1240",843,"laccase 11 [0.537] | laccase 12 [0.388] | laccase 3 [0.037] | L-ascorbate oxidase [0.025] | laccase 8 [0.013]","Plant L-ascorbate oxidase | Cupredoxin superfamily protein","Cu-oxidase_2 (PF07731) [1.000] | Cu-oxidase (PF00394) [1.000] | Cu-oxidase_3 (PF07732) [0.938]","copper ion binding (GO:0005507) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn12.126",1060,"mitogen-activated protein kinase kinase 4 [0.944] | Protein kinase superfamily protein [0.028] | MAP kinase kinase 9 [0.014] | MAP kinase kinase 5 [0.014]","MAP kinase kinase 7 | mitogen-activated protein kinase kinase 4 | MAP kinase kinase 5 | MAP kinase kinase 9","Pkinase (PF00069) [1.000] | CAP (PF00188) [0.014]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000]","protein phosphorylation (GO:0006468) [1.000]","2"
"Pn12.1282",737,"Zinc finger protein CONSTANS-LIKE 1 [0.506] | B-box zinc finger family protein [0.224] | Zinc finger protein CONSTANS-LIKE 3 [0.094] | Zinc finger protein CONSTANS-LIKE 4 [0.059] | Zinc finger protein CONSTANS-LIKE 2 [0.059] | Zinc finger protein CONSTANS [0.047]","B-box zinc finger family protein | light-regulated zinc finger protein 1 | salt tolerance homologue","zf-B_box (PF00643) [0.941]","zinc ion binding (GO:0008270) [0.941]","NULL / Representative annotation below 0.1%","4"
"Pn12.1340",3623,"Dicarboxylate transporter 2.1, chloroplastic [0.632] | L-tartrate/succinate antiporter [0.316] | Dicarboxylate transporter 2.2, chloroplastic [0.053]","dicarboxylate transporter 2.2 | dicarboxylate transport 2.1","Na_sulph_symp (PF00939) [1.000]","transporter activity (GO:0005215) [1.000]","sodium ion transport (GO:0006814) [1.000] | transmembrane transport (GO:0055085) [1.000]","2"
"Pn12.1473",4811,"FAD/NAD(P)-binding oxidoreductase family protein [0.606] | protein kinase family protein [0.182] | Protein kinase superfamily protein [0.091] | Leucine-rich repeat protein kinase family protein [0.061] | Malectin/receptor-like protein kinase family protein [0.061]","FAD/NAD(P)-binding oxidoreductase family protein","Amino_oxidase (PF01593) [0.636] | Pkinase (PF00069) [0.394] | Pkinase_Tyr (PF07714) [0.030]","oxidoreductase activity (GO:0016491) [0.636] | ATP binding (GO:0005524) [0.394] | protein kinase activity (GO:0004672) [0.394]","oxidation-reduction process (GO:0055114) [0.636] | protein phosphorylation (GO:0006468) [0.394]","1"
"Pn12.1515",405,"Wound-responsive family protein [1.000]","Wound-responsive family protein","DUF3774 (PF12609) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn12.1520",405,"Wound-responsive family protein [1.000]","Wound-responsive family protein","DUF3774 (PF12609) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn12.1522",405,"Wound-responsive family protein [1.000]","Wound-responsive family protein","DUF3774 (PF12609) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn12.1574",29,"Leucine-rich receptor-like protein kinase family protein [0.931] | Haem oxygenase-like, multi-helical [0.067] | receptor like protein 52 [0.002]","Leucine-rich receptor-like protein kinase family protein | Leucine-rich repeat transmembrane protein kinase family protein | Leucine-rich repeat protein kinase family protein | HAESA-like 1 | receptor like protein 52 | Haem oxygenase-like, multi-helical | HAESA-like 2 | Protein kinase family protein with leucine-rich repeat domain","LRR_1 (PF00560) [0.855] | Pkinase (PF00069) [0.838] | LRRNT_2 (PF08263) [0.792] | LRR_8 (PF13855) [0.659] | LRR_4 (PF12799) [0.364] | LRR_6 (PF13516) [0.339] | LRR_7 (PF13504) [0.109] | Pkinase_Tyr (PF07714) [0.073] | TENA_THI-4 (PF03070) [0.069] | HAD (PF12710) [0.059] | Rho_N (PF07498) [0.002]","protein kinase activity (GO:0004672) [0.907] | protein binding (GO:0005515) [0.855] | ATP binding (GO:0005524) [0.838]","protein phosphorylation (GO:0006468) [0.907] | DNA-templated transcription, termination (GO:0006353) [0.002]","2"
"Pn12.1608",11917,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn12.171",10100,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF679)","DUF679 (PF05078) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn12.1773",913,"Eukaryotic aspartyl protease family protein [1.000]","Eukaryotic aspartyl protease family protein","TAXi_C (PF14541) [0.987] | TAXi_N (PF14543) [0.987] | Asp (PF00026) [0.013]","aspartic-type endopeptidase activity (GO:0004190) [0.013]","proteolysis (GO:0006508) [0.013]","4"
"Pn12.181",2048,"MATE efflux family protein [1.000]","MATE efflux family protein","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]","5"
"Pn12.1812",2008,"Disease resistance protein (TIR-NBS class) [0.585] | P-loop containing nucleoside triphosphate hydrolases superfamily protein [0.415]","P-loop containing nucleoside triphosphate hydrolases superfamily protein | Disease resistance protein (TIR-NBS class)","NB-ARC (PF00931) [0.472] | TIR_2 (PF13676) [0.113]","ADP binding (GO:0043531) [0.472] | protein binding (GO:0005515) [0.113]","signal transduction (GO:0007165) [0.113]","5"
"Pn12.1813",1953,"HXXXD-type acyl-transferase family protein [1.000]","HXXXD-type acyl-transferase family protein | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","Transferase (PF02458) [1.000]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn12.1912",9884,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
