Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn1.362,1897,Ovarian cancer-associated gene 2 protein homolog ,alpha/beta-Hydrolases superfamily protein,FSH1 ,calcium ion binding ,NULL / Representative annotation below 0.1%,1
Pn1.363,1897,Ovarian cancer-associated gene 2 protein homolog ,alpha/beta-Hydrolases superfamily protein,FSH1 ,calcium ion binding ,NULL / Representative annotation below 0.1%,1
Pn1.364,1897,Ovarian cancer-associated gene 2 protein homolog ,alpha/beta-Hydrolases superfamily protein,FSH1 ,calcium ion binding ,NULL / Representative annotation below 0.1%,1
Pn1.365,1115,Importin subunit beta-1 ,ARM repeat superfamily protein,IBN_N ,Ran GTPase binding ,intracellular protein transport (GO:0006886) [0.971],1
Pn1.3664,304,terpene synthase 03 ,"terpene synthase-like sequence-1,8-cineole ",Terpene_synth_C ,lyase activity ,metabolic process (GO:0008152) [0.953],2
Pn1.3668,3905,membrane-associated progesterone binding protein 3 ,membrane steroid binding protein 1 ,Cyt-b5 ,heme binding ,NULL / Representative annotation below 0.1%,2
Pn1.3678,9405,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.3721,868,Cytokinin dehydrogenase 5 ,cytokinin oxidase/dehydrogenase 6 ,FAD_binding_4 ,flavin adenine dinucleotide binding ,cytokinin metabolic process (GO:0009690) [1.000] | oxidation-reduction process (GO:0055114) [1.000],2
Pn1.3765,810,glutamine synthetase 1;4 ,glutamine synthase clone R1 ,Gln-synt_C ,glutamate-ammonia ligase activity ,nitrogen compound metabolic process (GO:0006807) [1.000] | glutamine biosynthetic process (GO:0006542) [1.000],5
Pn1.3771,1579,metacaspase 1 ,metacaspase 3 ,Peptidase_C14 ,cysteine-type endopeptidase activity ,proteolysis (GO:0006508) [1.000],5
Pn1.3779,2979,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein ,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein,Clp_N ,NULL / Representative annotation below 0.1%,protein metabolic process (GO:0019538) [0.884],4
Pn1.3784,1275,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family ,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family ,LEA_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.3802,3207,Dof-type zinc finger DNA-binding family protein ,Dof-type zinc finger DNA-binding family protein,zf-Dof ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.976]",4
Pn1.3836,3057,"Receptor homology region, transmembrane domain- and RING domain-containing protein 2 ",Protease-associated (PA) RING/U-box zinc finger family protein,PA ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn1.3837,4025,Ethylene-responsive transcription factor 1 ,Integrase-type DNA-binding superfamily protein,AP2 ,sequence-specific DNA binding transcription factor activity ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",2
Pn1.41,2915,Ankyrin repeat family protein ,Ankyrin repeat family protein,Ank_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.42,2018,NAC domain containing protein 28 ,NAC domain containing protein 28,NAM ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.566]",3
Pn1.451,173,Disease resistance protein (CC-NBS-LRR class) family ,Disease resistance protein (CC-NBS-LRR class) family ,NB-ARC ,ADP binding ,signal transduction (GO:0007165) [0.006] | DNA integration (GO:0015074) [0.006],6
Pn1.599,1777,Transketolase ,Transketolase,Transketolase_N ,catalytic activity ,metabolic process (GO:0008152) [0.804],2
Pn1.60,938,MLO-like protein 6 ,Seven transmembrane MLO family protein,Mlo ,NULL / Representative annotation below 0.1%,defense response (GO:0006952) [1.000],1
Pn1.63,386,Auxin efflux carrier family protein ,Auxin efflux carrier family protein,Mem_trans ,zinc ion binding ,transmembrane transport (GO:0055085) [1.000],4
Pn1.703,3836,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,HAD_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.722,3905,membrane-associated progesterone binding protein 3 ,membrane steroid binding protein 1 ,Cyt-b5 ,heme binding ,NULL / Representative annotation below 0.1%,2
Pn1.74,8167,glycine-rich protein ,glycine-rich protein,eIF-4B ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn1.830,3836,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,HAD_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.852,3905,membrane-associated progesterone binding protein 3 ,membrane steroid binding protein 1 ,Cyt-b5 ,heme binding ,NULL / Representative annotation below 0.1%,2
Pn1.881,1509,F-box/RNI-like superfamily protein ,Unkown protein(s) / No TAIR description(s),F-box ,protein binding ,photosynthesis (GO:0015979) [0.033],5
Pn1.90,905,myb domain protein 4 ,myb domain protein 6 ,Myb_DNA-binding ,chromatin binding ,NULL / Representative annotation below 0.1%,2
Pn1.907,3016,Homeodomain-like superfamily protein ,Homeodomain-like superfamily protein,Myb_DNA-binding ,chromatin binding ,NULL / Representative annotation below 0.1%,2
Pn1.909,1425,calmodulin 5 ,EF hand calcium-binding protein family ,EF-hand_7 ,calcium ion binding ,NULL / Representative annotation below 0.1%,2
Pn10.1002,4715,camphor resistance CrcB family protein ,camphor resistance CrcB family protein,CRCB ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.1011,8018,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF740 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.106,4254,Sterile alpha motif (SAM) domain-containing protein ,Sterile alpha motif (SAM) domain-containing protein,SAM_2 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn10.11,1319,alpha/beta-Hydrolases superfamily protein ,senescence-associated gene 101 ,Lipase_3 ,triglyceride lipase activity ,lipid metabolic process (GO:0006629) [0.508] | GPI anchor biosynthetic process (GO:0006506) [0.338] | metabolic process (GO:0008152) [0.092],3
Pn10.1168,7343,early nodulin-like protein 18 ,early nodulin-like protein 18,Cu_bind_like ,copper ion binding ,NULL / Representative annotation below 0.1%,4
Pn10.1176,1060,mitogen-activated protein kinase kinase 4 ,MAP kinase kinase 7 ,Pkinase ,ATP binding ,protein phosphorylation (GO:0006468) [1.000],5
Pn10.1182,775,Lactoylglutathione lyase / glyoxalase I family protein ,Lactoylglutathione lyase / glyoxalase I family protein,Glyoxalase_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn10.1201,4715,camphor resistance CrcB family protein ,camphor resistance CrcB family protein,CRCB ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.1248,7729,ATP-dependent DNA helicase MPH1 ,DEAD/DEAH box RNA helicase family protein ,Helicase_C ,ATP binding ,NULL / Representative annotation below 0.1%,3
Pn10.1284,2503,Peroxidase superfamily protein ,Peroxidase superfamily protein,peroxidase ,peroxidase activity ,oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000],5
Pn10.1298,11730,Replication factor C subunit 3 ,Unkown protein(s) / No TAIR description(s),Rep_fac_C ,four-way junction helicase activity ,DNA recombination (GO:0006310) [0.143] | DNA repair (GO:0006281) [0.143],6
Pn10.1345,1275,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family ,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family ,LEA_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.1369,419,Leucine-rich repeat protein kinase family protein ,Leucine-rich repeat protein kinase family protein,Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.963],3
Pn10.1384,186,alpha/beta-Hydrolases superfamily protein ,alpha/beta-Hydrolases superfamily protein ,Abhydrolase_3 ,hydrolase activity ,"metabolic process (GO:0008152) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [0.006]",5
Pn10.1398,559,Calcium-binding EF-hand family protein ,Unkown protein(s) / No TAIR description(s),EF-hand_5 ,calcium ion binding ,NULL / Representative annotation below 0.1%,5
Pn10.1400,559,Calcium-binding EF-hand family protein ,Unkown protein(s) / No TAIR description(s),EF-hand_5 ,calcium ion binding ,NULL / Representative annotation below 0.1%,5
Pn10.1401,559,Calcium-binding EF-hand family protein ,Unkown protein(s) / No TAIR description(s),EF-hand_5 ,calcium ion binding ,NULL / Representative annotation below 0.1%,5
Pn10.1411,119,nucleobase-ascorbate transporter 7 ,Xanthine/uracil permease family protein ,Xan_ur_permease ,transporter activity ,transport (GO:0006810) [1.000] | transmembrane transport (GO:0055085) [1.000],1
Pn10.1424,825,Heat stress transcription factor B-4 ,heat shock transcription factor  B4 ,HSF_DNA-bind ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",1
Pn10.1443,559,Calcium-binding EF-hand family protein ,Unkown protein(s) / No TAIR description(s),EF-hand_5 ,calcium ion binding ,NULL / Representative annotation below 0.1%,5
Pn10.1446,559,Calcium-binding EF-hand family protein ,Unkown protein(s) / No TAIR description(s),EF-hand_5 ,calcium ion binding ,NULL / Representative annotation below 0.1%,5
Pn10.1458,119,nucleobase-ascorbate transporter 7 ,Xanthine/uracil permease family protein ,Xan_ur_permease ,transporter activity ,transport (GO:0006810) [1.000] | transmembrane transport (GO:0055085) [1.000],1
Pn10.1473,825,Heat stress transcription factor B-4 ,heat shock transcription factor  B4 ,HSF_DNA-bind ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",1
Pn10.149,1681,DEAD-box ATP-dependent RNA helicase 46 ,DEAD box RNA helicase family protein ,DEAD ,ATP-dependent helicase activity ,NULL / Representative annotation below 0.1%,3
Pn10.1501,3731,protein-protein interaction regulator family protein ,protein-protein interaction regulator family protein,Pinin_SDK_memA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn10.1503,243,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1644),DUF1644 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn10.1525,3169,Outer arm dynein light chain 1 protein ,Outer arm dynein light chain 1 protein,LRR_4 ,protein binding ,oxidation-reduction process (GO:0055114) [0.024],4
Pn10.156,3413,Glutaredoxin family protein ,Glutaredoxin family protein ,Glutaredoxin ,electron carrier activity ,cell redox homeostasis (GO:0045454) [1.000],2
Pn10.1563,457,"cytochrome P450, family 82, subfamily C, polypeptide 4 ","cytochrome P450, family 82, subfamily C, polypeptide 4 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],5
Pn10.1566,457,"cytochrome P450, family 82, subfamily C, polypeptide 4 ","cytochrome P450, family 82, subfamily C, polypeptide 4 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn10.1631,5080,Auxin efflux carrier family protein ,Auxin efflux carrier family protein,Mem_trans ,NULL / Representative annotation below 0.1%,transmembrane transport (GO:0055085) [1.000],1
Pn10.165,598,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],4
Pn10.1766,2522,Charged multivesicular body protein 4 ,SNF7 family protein,Snf7 ,NULL / Representative annotation below 0.1%,protein transport (GO:0015031) [1.000],2
Pn10.1813,11696,U-box domain-containing protein 43 ,Unkown protein(s) / No TAIR description(s),U-box ,ubiquitin-protein ligase activity ,protein ubiquitination (GO:0016567) [0.929],3
Pn10.1836,6600,"Isovaleryl-CoA dehydrogenase, mitochondrial ",isovaleryl-CoA-dehydrogenase,Acyl-CoA_dh_1 ,"oxidoreductase activity, acting on the CH-CH group of donors ",metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [1.000],2
Pn10.1839,6721,Vacuolar protein sorting-associated protein 52 A ,Vps52 / Sac2 family ,Vps52 ,methyltransferase activity ,metabolic process (GO:0008152) [0.037],3
Pn10.1843,8141,Tetraspanin family protein ,tetraspanin6 ,Tetraspannin ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.1914,3288,threonine aldolase 1 ,threonine aldolase 2 ,Beta_elim_lyase ,lyase activity ,cellular amino acid metabolic process (GO:0006520) [1.000],2
Pn10.1918,3212,actin depolymerizing factor 6 ,actin depolymerizing factor 6,Cofilin_ADF ,actin binding ,NULL / Representative annotation below 0.1%,5
Pn10.1954,3322,Ankyrin repeat family protein ,Ankyrin repeat family protein,Ank_2 ,protein binding ,NULL / Representative annotation below 0.1%,1
Pn10.1989,1055,Acyl-,Plant stearoyl-acyl-carrier-protein desaturase family protein,FA_desaturase_2 ,acyl-[acyl-carrier-protein] desaturase activity ,fatty acid metabolic process (GO:0006631) [1.000] | oxidation-reduction process (GO:0055114) [1.000],2
Pn10.2018,552,Transmembrane emp24 domain-containing protein 10 ,emp24/gp25L/p24 family/GOLD family protein,EMP24_GP25L ,NULL / Representative annotation below 0.1%,transport (GO:0006810) [1.000],2
Pn10.2052,1977,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF581),DUF581 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn10.2054,2243,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF247 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn10.2063,7472,Polymerase/histidinol phosphatase-like ,Polymerase/histidinol phosphatase-like,PHP ,catalytic activity ,NULL / Representative annotation below 0.1%,6
Pn10.2066,214,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,Trehalose_PPase ,catalytic activity ,trehalose biosynthetic process (GO:0005992) [1.000],2
Pn10.2078,1389,Cysteine/Histidine-rich C1 domain family protein ,Cysteine/Histidine-rich C1 domain family protein,C1_3 ,protein-disulfide reductase activity ,oxidation-reduction process (GO:0055114) [0.635],5
Pn10.2086,7710,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR)-like superfamily protein,TPR_11 ,protein binding ,translation (GO:0006412) [0.038],3
Pn10.2207,7744,"Mannan endo-1,4-beta-mannosidase 2 ",Unkown protein(s) / No TAIR description(s),Cellulase ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [1.000],1
Pn10.251,397,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase ,ATP binding ,protein phosphorylation (GO:0006468) [0.982],1
Pn10.261,6991,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1666),DUF1666 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn10.265,3954,basic leucine zipper 9 ,basic leucine zipper 9,bZIP_1 ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.972]",5
Pn10.270,6534,Glycogen debranching enzyme ,isoamylase 1,CBM_48 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [0.929],1
Pn10.323,9029,Metallo-hydrolase/oxidoreductase superfamily protein ,Metallo-hydrolase/oxidoreductase superfamily protein,Lactamase_B_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.332,9884,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn10.343,9371,Glycogen debranching enzyme ,limit dextrinase,DUF3372 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [0.870],3
Pn10.360,1385,nodulin MtN21 /EamA-like transporter family protein ,Walls Are Thin 1 ,EamA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn10.37,4254,Sterile alpha motif (SAM) domain-containing protein ,Sterile alpha motif (SAM) domain-containing protein,SAM_2 ,protein binding ,NULL / Representative annotation below 0.1%,2
